"group" "subject" "information" "similarities" "arithmetic" "picture completion"
1 1 9 5 10 8
1 2 10 0 6 2
1 3 8 9 11 1
1 4 13 7 14 9
1 5 4 0 4 0
1 6 4 0 6 0
1 7 11 9 9 8
1 8 5 3 3 6
1 9 9 7 8 6
1 10 7 2 6 4
1 11 12 10 14 3
1 12 13 12 11 10
2 1 7 5 9 8
2 2 8 8 5 6
2 3 16 18 11 9
2 4 8 3 7 9
2 5 6 3 13 9
2 6 11 8 10 10
2 7 12 7 9 8
2 8 8 11 9 3
2 9 14 12 11 4
2 10 13 13 13 6
2 11 13 9 9 9
2 12 13 10 15 7
2 13 14 11 12 8
2 14 15 11 11 10
2 15 13 10 15 9
2 16 10 5 8 6
2 17 10 3 7 7
2 18 17 13 13 7
2 19 10 6 10 7
2 20 10 10 15 8
2 21 14 7 11 5
2 22 16 11 12 11
2 23 10 7 14 6
2 24 10 10 9 6
2 25 10 7 10 10
2 26 7 6 5 9
2 27 15 12 10 6
2 28 17 15 15 8
2 29 16 13 16 9
2 30 13 10 17 8
2 31 13 10 17 10
2 32 19 12 16 10
2 33 19 15 17 11
2 34 13 10 7 8
2 35 15 11 12 8
2 36 16 9 11 11
2 37 14 13 14 9
